 , won, played
ROOT,2152.5, 4471
ROOT,1970.5, 4038
ROOT,2058.5, 4226
ROOT,2367.5, 4535
ROOT,2386.0, 4771
ROOT,2402.5, 4657
ROOT,2619.0, 4724
ROOT,2268.5, 4888
ROOT,2351.5, 5127
ROOT,3094.5, 5403
ROOT,3128.0, 5507
ROOT,3313.5, 5644
ROOT,3293.0, 5666
ROOT,3840.0, 6123
ROOT,3508.5, 6104
ROOT,3809.0, 6369
ROOT,4193.0, 6701
ROOT,4887.0, 7400
ROOT,5830.5, 8341
ROOT,7588.5, 10719
ROOT,7702.0, 10537
ROOT,7349.5, 10018
ROOT,6777.0, 9210
ROOT,8027.0, 10856
ROOT,6764.5, 9700
ROOT,8039.0, 11127
ROOT,8014.0, 11382
ROOT,14767.5, 18216
ROOT,40740.5, 43586
ROOT,2072322.5, 2073034
ROOT,3670356.0, 3670356
ROOT,6090837.0, 6090837
ROOT,1.2763922E7, 12763922
