 , won, played
ROOT,2122.5, 4353
ROOT,2333.0, 4740
ROOT,2580.5, 5140
ROOT,2687.5, 5291
ROOT,2723.5, 5781
ROOT,2970.0, 5693
ROOT,3019.5, 6175
ROOT,3407.5, 6341
ROOT,4020.5, 6472
ROOT,4214.5, 6886
ROOT,4302.0, 7016
ROOT,4054.0, 6941
ROOT,4244.0, 7257
ROOT,3409.0, 7360
ROOT,3425.0, 8277
ROOT,3421.0, 8315
ROOT,3742.0, 8735
ROOT,3374.0, 8059
ROOT,3127.0, 7452
ROOT,3356.0, 7761
ROOT,3126.0, 7456
ROOT,3099.5, 8209
ROOT,2208.0, 115408
ROOT,1936.5, 126951
ROOT,2046.5, 145575
ROOT,3647.0, 16675
ROOT,2829.0, 18008
ROOT,5163.0, 20908
ROOT,3967.5, 18495
ROOT,3437.0, 16152
ROOT,3163.5, 15378
ROOT,3253.0, 16833
ROOT,2958.0, 14913
ROOT,3045.0, 14480
ROOT,3298.0, 16778
ROOT,2982.0, 14426
ROOT,3483.5, 20204
ROOT,3024.5, 14230
ROOT,3132.5, 16626
ROOT,3017.5, 14713
ROOT,3288.0, 17528
ROOT,3149.5, 15369
ROOT,3462.0, 20405
ROOT,3260.5, 15492
ROOT,3372.0, 18513
ROOT,3148.5, 15408
ROOT,3380.0, 18401
ROOT,3070.5, 14532
ROOT,3001.0, 15983
ROOT,3027.0, 14756
ROOT,3157.5, 17379
ROOT,2936.5, 14353
ROOT,3061.0, 16018
ROOT,3122.5, 14973
ROOT,3543.0, 19357
ROOT,2995.5, 14597
ROOT,3447.0, 17339
ROOT,3278.0, 15696
ROOT,3278.0, 17756
ROOT,2981.5, 14471
ROOT,3154.0, 16521
ROOT,3129.0, 14919
ROOT,3375.5, 18163
ROOT,3179.0, 15203
ROOT,3036.0, 15496
ROOT,2824.0, 14341
ROOT,3141.5, 17320
ROOT,3147.0, 14809
ROOT,3037.0, 15428
ROOT,3052.5, 14374
ROOT,3206.0, 17377
ROOT,3051.5, 14666
ROOT,3249.5, 18106
ROOT,2936.5, 14233
ROOT,3120.5, 17586
ROOT,3048.0, 14739
