 , won, played
ROOT,2246.5, 4534
ROOT,2116.5, 4241
ROOT,2371.5, 4795
ROOT,2298.0, 4517
ROOT,2840.5, 5474
ROOT,2858.0, 5467
ROOT,2761.5, 5741
ROOT,2990.0, 5838
ROOT,3048.5, 6139
ROOT,3110.5, 6138
ROOT,3230.5, 6315
ROOT,3391.0, 6722
ROOT,3320.5, 6081
ROOT,3424.0, 6672
ROOT,3822.0, 6406
ROOT,3816.0, 7159
ROOT,3507.5, 6848
ROOT,3362.5, 6944
ROOT,3593.5, 7103
ROOT,2869.0, 6080
ROOT,2557.0, 5995
ROOT,2596.0, 5890
ROOT,2545.5, 6415
ROOT,2265.0, 6918
ROOT,1985.0, 6337
ROOT,2343.0, 6991
ROOT,2440.0, 6520
ROOT,2515.5, 6819
ROOT,2582.5, 7612
ROOT,2364.5, 7595
ROOT,2471.0, 8360
ROOT,3032.0, 8084
ROOT,3024.5, 7750
ROOT,3056.5, 7508
ROOT,3177.5, 7621
ROOT,3208.5, 7407
ROOT,3317.5, 7428
ROOT,3595.0, 7438
ROOT,3386.5, 8076
ROOT,3590.0, 7999
ROOT,3712.0, 7956
ROOT,3789.0, 7825
ROOT,3902.0, 8236
ROOT,4062.0, 8552
ROOT,4226.5, 8821
ROOT,4435.0, 9150
ROOT,4877.0, 9141
ROOT,5371.5, 9437
ROOT,5888.5, 10344
ROOT,6493.0, 11473
ROOT,6648.5, 12203
ROOT,6050.0, 11576
ROOT,6061.5, 12394
ROOT,7863.5, 13809
ROOT,7288.5, 13430
ROOT,8251.0, 14632
ROOT,7403.0, 13512
ROOT,7995.0, 13901
ROOT,8401.0, 15108
ROOT,8208.5, 14191
ROOT,7400.5, 13807
ROOT,7522.0, 13652
ROOT,7712.5, 14009
ROOT,7832.5, 13872
ROOT,8116.0, 14989
ROOT,8077.0, 14717
ROOT,7718.5, 14440
ROOT,7458.5, 14074
ROOT,7916.5, 14571
ROOT,6607.0, 12863
ROOT,7770.5, 14432
ROOT,6937.5, 13216
ROOT,7288.5, 13599
ROOT,6252.0, 12275
ROOT,5232.5, 10721
ROOT,6250.5, 12256
Draw 151.
