move, won, played
ROOT,2472.0, 5314
ROOT,2757.0, 5598
ROOT,3150.5, 5811
ROOT,3090.5, 5833
ROOT,3026.0, 6083
ROOT,3198.5, 6785
ROOT,3751.5, 6910
ROOT,3859.5, 6992
ROOT,3376.0, 7241
ROOT,3873.5, 7472
ROOT,3071.5, 7540
ROOT,3426.5, 8212
ROOT,3726.5, 8641
ROOT,3805.5, 8467
ROOT,4025.0, 9204
ROOT,4045.0, 10404
ROOT,4128.5, 10557
ROOT,3831.0, 9598
ROOT,6628.0, 10199
ROOT,6337.5, 10201
ROOT,6083.0, 10227
ROOT,4897.5, 9572
ROOT,5417.0, 9420
ROOT,5232.0, 9321
ROOT,4742.5, 9206
ROOT,4489.0, 9889
ROOT,4153.5, 10614
ROOT,4382.0, 10767
ROOT,4585.0, 11724
ROOT,4831.0, 12319
ROOT,4761.5, 12334
ROOT,4830.0, 12451
ROOT,4917.5, 11288
ROOT,4461.0, 11397
ROOT,4696.0, 12124
ROOT,5317.0, 14778
ROOT,3549.0, 25963
ROOT,2642.0, 56197
ROOT,2560.5, 105008
ROOT,2140.0, 84936
ROOT,2152.0, 39044
ROOT,2091.5, 158688
ROOT,0.0, 6420833
Player 1 has lost the game.
