move, won, played
ROOT,2551.0, 5394
ROOT,2481.5, 5621
ROOT,2950.5, 5917
ROOT,3648.5, 6987
ROOT,3353.0, 6384
ROOT,3771.0, 7146
ROOT,4034.0, 7312
ROOT,4736.0, 7750
ROOT,4385.5, 7113
ROOT,4573.0, 7511
ROOT,4640.0, 7471
ROOT,5181.0, 8162
ROOT,5168.0, 8353
ROOT,5817.5, 8883
ROOT,5356.0, 8803
ROOT,6285.0, 9915
ROOT,7149.0, 10874
ROOT,6657.0, 10469
ROOT,6729.0, 10079
ROOT,6843.0, 10188
ROOT,6627.5, 10253
ROOT,7061.0, 10858
ROOT,7451.0, 10954
ROOT,7050.5, 10604
ROOT,6192.5, 9470
ROOT,5847.0, 8503
ROOT,6098.5, 8844
ROOT,6125.5, 9009
ROOT,6865.0, 9764
ROOT,6993.5, 10847
ROOT,9194.5, 12855
ROOT,9185.0, 12681
ROOT,7793.5, 11893
ROOT,7925.0, 11925
ROOT,8981.0, 13767
ROOT,8992.0, 13576
ROOT,13098.0, 17911
ROOT,14411.5, 18674
ROOT,14023.5, 18213
ROOT,13735.5, 17647
ROOT,14093.0, 17932
ROOT,18476.5, 22491
ROOT,19127.0, 23384
ROOT,42702.5, 46413
ROOT,130466.5, 132392
ROOT,105281.0, 107065
ROOT,86017.0, 87781
ROOT,99333.5, 100608
ROOT,114535.0, 115233
ROOT,1.1677265E7, 11677265
Player 2 has lost the game.
